@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric

@data
2938,'2019/07/08 17:20:45:419',9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2939,'2019/07/08 17:20:45:468',9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2940,'2019/07/08 17:20:45:518',9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2941,'2019/07/08 17:20:45:569',9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2942,'2019/07/08 17:20:45:620',9,308.942963,406.083435,47.788929,289.994629,394.170685,61.293591,245.2379,397.972565,65.155746,192.978592,400.978271,64.82309,127.204071,411.86795,59.611664,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2943,'2019/07/08 17:20:45:671',9,336.026978,393.987793,48.813705,299.76181,389.942291,63.461842,241.616196,389.625305,67.793114,189.222076,392.216736,67.029945,124.424835,402.653442,61.433304,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2944,'2019/07/08 17:20:45:727',9,352.887817,389.762451,49.567841,307.015289,388.02243,65.530045,239.611389,385.614441,69.880196,186.918289,387.690582,68.740044,119.493958,396.987122,62.963615,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2945,'2019/07/08 17:20:45:778',9,509.809631,371.806091,50.758835,587.257141,364.020447,64.827744,649.070374,360.832367,67.151642,722.09552,373.952148,64.337296,780.467773,385.168945,57.215042,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2946,'2019/07/08 17:20:45:858',9,459.75885,368.457123,48.448128,526.348633,362.327026,63.623215,595.070557,356.383728,66.561768,676.528931,367.293182,63.403156,725.239258,383.091736,56.080544,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2947,'2019/07/08 17:20:45:928',9,448.938812,366.992188,48.013699,515.041626,359.395752,63.583519,590.160645,353.809387,66.324196,670.28772,365.571625,62.83992,715.185669,383.016083,55.310883,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
